timestamp, relative_time, rr_sincestart, rr
1442315986005, 986, 1094, 1094
1442315987991, 2972, 2120, 1026
1442315989024, 4005, 3188, 1068
1442315990009, 4990, 4179, 991
1442315991018, 5999, 5184, 1005
1442315991018, 5999, 6129, 945
1442315992013, 6994, 7038, 909
1442315993501, 8482, 7992, 954
1442315994594, 9575, 8980, 988
1442315995495, 10476, 9856, 876
1442315996686, 11667, 10678, 822
1442315997585, 12566, 11543, 865
1442315998586, 13567, 11875, 332
1442315999584, 14565, 12288, 413
1442315999584, 14565, 12636, 348
1442316007465, 22446, 18476, 5840
1442316007465, 22446, 18819, 343
1442316008561, 23542, 19394, 575
1442316009456, 24437, 20274, 880
1442316009456, 24437, 20591, 317
1442316010555, 25536, 21132, 541
1442316012454, 27435, 23764, 2632
1442316012454, 27435, 24055, 291
1442316013450, 28431, 24419, 364
1442316019533, 34514, 30765, 6346
1442316019533, 34514, 31108, 343
1442316020526, 35507, 31795, 687
1442316020526, 35507, 32252, 457
1442316024423, 39404, 35524, 3272
1442316024423, 39404, 35804, 280
1442316036391, 51372, 48329, 12525
1442316037487, 52468, 49358, 1029
1442316038485, 53466, 50299, 941
1442316039384, 54365, 51188, 889
1442316040382, 55363, 52090, 902
1442316042472, 57453, 52408, 318
1442316043474, 58455, 52741, 333
1442316043474, 58455, 53068, 327
1442316043474, 58455, 53357, 289
1442316048962, 63943, 54117, 760
1442316049958, 64939, 54915, 798
1442316050960, 65941, 55701, 786
1442316051984, 66965, 56469, 768
1442316051984, 66965, 57245, 776
1442316053398, 68379, 58012, 767
1442316054339, 69320, 58787, 775
1442316055339, 70320, 59519, 732
1442316055339, 70320, 60264, 745
1442316056425, 71406, 60990, 726
1442316057426, 72407, 61699, 709
1442316057426, 72407, 62414, 715
1442316058429, 73410, 63105, 691
1442316059329, 74310, 63797, 692
1442316060423, 75404, 64146, 349
1442316060423, 75404, 64478, 332
1442316061417, 76398, 64830, 352
1442316062414, 77395, 65113, 283
1442316063324, 78305, 65403, 290
1442316065405, 80386, 65660, 257
1442316068306, 83287, 66298, 638
1442316069401, 84382, 66945, 647
1442316070302, 85283, 67518, 573
1442316071298, 86279, 68029, 511
1442316074293, 89274, 68711, 682
1442316075290, 90271, 69405, 694
1442316076287, 91268, 70082, 677
1442316076287, 91268, 70747, 665
1442316077283, 92264, 71434, 687
1442316078374, 93355, 72109, 675
1442316078374, 93355, 72767, 658
1442316079371, 94352, 73443, 676
1442316080372, 95353, 74117, 674
1442316080372, 95353, 74783, 666
1442316081274, 96255, 75474, 691
1442316082361, 97342, 76145, 671
1442316082361, 97342, 76795, 650
1442316083362, 98343, 77465, 670
1442316084360, 99341, 78133, 668
1442316084360, 99341, 78778, 645
1442316085362, 100343, 79454, 676
1442316085362, 100343, 80121, 667
1442316086260, 101241, 80802, 681
1442316087351, 102332, 81494, 692
1442316087351, 102332, 82179, 685
1442316088349, 103330, 82889, 710
1442316089254, 104235, 83601, 712
1442316090251, 105232, 84274, 673
1442316090251, 105232, 84996, 722
1442316091248, 106229, 85709, 713
1442316092327, 107308, 86382, 673
1442316092327, 107308, 87094, 712
1442316093244, 108225, 87800, 706
1442316094241, 109222, 88475, 675
1442316094241, 109222, 89179, 704
