timestamp, relative_time, rr_sincestart, rr
1442439415736, 0, 999, 999
1442439416713, 977, 2042, 1043
1442439417737, 2001, 3091, 1049
1442439418713, 2977, 4069, 978
1442439419737, 4001, 5055, 986
1442439420767, 5031, 5990, 935
1442439421763, 6027, 6844, 854
1442439422761, 7025, 7753, 909
1442439423735, 7999, 8655, 902
1442439424935, 9199, 9535, 880
1442439425931, 10195, 10485, 950
1442439425931, 10195, 11359, 874
1442439426929, 11193, 12249, 890
1442439427927, 12191, 13190, 941
1442439428924, 13188, 14035, 845
1442439429921, 14185, 14960, 925
1442439430919, 15183, 15902, 942
1442439431916, 16180, 16801, 899
1442439432914, 17178, 17805, 1004
1442439433912, 18176, 18793, 988
1442439434909, 19173, 19696, 903
1442439434909, 19173, 20573, 877
1442439435906, 20170, 21370, 797
1442439436904, 21168, 22155, 785
1442439437901, 22165, 22982, 827
1442439438899, 23163, 23972, 990
1442439439896, 24160, 25014, 1042
1442439440894, 25158, 25966, 952
1442439441891, 26155, 26974, 1008
1442439442895, 27159, 27967, 993
1442439443886, 28150, 28948, 981
1442439444880, 29144, 29956, 1008
1442439445882, 30146, 30895, 939
1442439446880, 31144, 31877, 982
1442439446880, 31144, 32891, 1014
1442439447876, 32140, 33870, 979
1442439448875, 33139, 34924, 1054
1442439449872, 34136, 35920, 996
1442439450869, 35133, 36937, 1017
1442439451866, 36130, 37990, 1053
1442439452865, 37129, 38971, 981
1442439453861, 38125, 39999, 1028
1442439454858, 39122, 40970, 971
1442439455857, 40121, 41926, 956
1442439456856, 41120, 42972, 1046
1442439457851, 42115, 43967, 995
1442439458849, 43113, 44975, 1008
1442439459847, 44111, 46016, 1041
1442439460844, 45108, 46976, 960
1442439461841, 46105, 48000, 1024
1442439462839, 47103, 49002, 1002
1442439463838, 48102, 49965, 963
1442439464833, 49097, 50971, 1006
1442439465829, 50093, 51950, 979
1442439466829, 51093, 52938, 988
1442439467826, 52090, 53956, 1018
1442439468824, 53088, 54918, 962
1442439469822, 54086, 55943, 1025
1442439470820, 55084, 56925, 982
1442439471816, 56080, 57868, 943
1442439472814, 57078, 58862, 994
1442439473811, 58075, 59815, 953
1442439474809, 59073, 60753, 938
1442439475807, 60071, 61751, 998
1442439476804, 61068, 62720, 969
1442439477802, 62066, 63699, 979
1442439477802, 62066, 64663, 964
1442439479298, 63562, 65572, 909
1442439480296, 64560, 66535, 963
1442439481293, 65557, 67444, 909
1442439482290, 66554, 68344, 900
1442439483287, 67551, 69338, 994
1442439484286, 68550, 70224, 886
1442439485282, 69546, 71160, 936
1442439486280, 70544, 72136, 976
1442439487279, 71543, 73036, 900
1442439488276, 72540, 73988, 952
1442439488276, 72540, 74860, 872
1442439489274, 73538, 75729, 869
1442439490270, 74534, 76606, 877
1442439491268, 75532, 77395, 789
1442439492265, 76529, 78178, 783
1442439492265, 76529, 79008, 830
1442439493263, 77527, 79996, 988
1442439494260, 78524, 80971, 975
1442439495258, 79522, 81926, 955
1442439496256, 80520, 82911, 985
1442439497253, 81517, 83831, 920
1442439498250, 82514, 84751, 920
1442439499247, 83511, 85680, 929
1442439500246, 84510, 86584, 904
1442439501243, 85507, 87569, 985
1442439502240, 86504, 88578, 1009
1442439503237, 87501, 89552, 974
1442439504236, 88500, 90580, 1028
1442439505233, 89497, 91598, 1018
1442439506230, 90494, 92635, 1037
1442439507228, 91492, 93673, 1038
1442439508225, 92489, 94616, 943
1442439509223, 93487, 95571, 955
1442439510221, 94485, 96514, 943
1442439510221, 94485, 97446, 932
1442439511217, 95481, 98512, 1066
1442439513213, 97477, 99559, 1047
