timestamp, relative_time, heart_rate
1442240647055, 0, 69
1442240648053, 998, 69
1442240649050, 1995, 70
1442240650048, 2993, 71
1442240651049, 3994, 72
1442240652046, 4991, 72
1442240653042, 5987, 68
1442240654043, 6988, 70
1442240655036, 7981, 72
1442240656033, 8978, 71
1442240657034, 9979, 73
1442240658031, 10976, 74
1442240659040, 11985, 73
1442240660024, 12969, 69
1442240661026, 13971, 68
1442240662021, 14966, 66
1442240663023, 15968, 64
1442240664018, 16963, 68
1442240665011, 17956, 70
1442240666010, 18955, 74
1442240667008, 19953, 75
1442240668006, 20951, 72
1442240669004, 21949, 67
1442240670002, 22947, 65
1442240670999, 23944, 62
1442240671996, 24941, 64
1442240672993, 25938, 65
1442240673991, 26936, 67
1442240674987, 27932, 72
1442240675985, 28930, 75
1442240676983, 29928, 76
1442240677978, 30923, 79
1442240678975, 31920, 79
1442240679976, 32921, 79
1442240680976, 33921, 70
1442240681970, 34915, 65
1442240682965, 35910, 62
1442240683992, 36937, 62
1442240684963, 37908, 63
1442240685963, 38908, 67
1442240686963, 39908, 73
1442240687958, 40903, 75
1442240688955, 41900, 76
1442240689949, 42894, 74
1442240690957, 43902, 71
1442240691942, 44887, 66
1442240693000, 45945, 64
1442240693938, 46883, 63
1442240694943, 47888, 65
1442240695936, 48881, 68
1442240696934, 49879, 69
1442240697931, 50876, 69
1442240698930, 51875, 70
1442240699928, 52873, 70
1442240700924, 53869, 67
1442240701922, 54867, 68
1442240702923, 55868, 66
1442240703920, 56865, 64
1442240704913, 57858, 65
1442240705912, 58857, 66
1442240706906, 59851, 67
1442240707902, 60847, 64
1442240708901, 61846, 66
1442240709898, 62843, 67
1442240711398, 64343, 65
1442240712430, 65375, 67
1442240713390, 66335, 68
1442240714388, 67333, 67
1442240715384, 68329, 68
1442240716385, 69330, 68
1442240717383, 70328, 66
1442240718380, 71325, 66
1442240719378, 72323, 72
1442240720375, 73320, 72
1442240721367, 74312, 72
1442240722366, 75311, 74
1442240723368, 76313, 73
1442240724364, 77309, 71
1442240725366, 78311, 69
1442240726356, 79301, 66
1442240727358, 80303, 68
1442240728352, 81297, 70
1442240729850, 82795, 74
1442240730849, 83794, 77
1442240731344, 84289, 80
1442240732345, 85290, 82
1442240733340, 86285, 86
1442240734337, 87282, 92
1442240735341, 88286, 88
1442240736833, 89778, 88
1442240737411, 90356, 88
1442240738329, 91274, 88
1442240739327, 92272, 78
1442240740324, 93269, 71
1442240741323, 94268, 71
1442240742323, 95268, 71
1442240743317, 96262, 72
1442240744315, 97260, 71
1442240745314, 98259, 68
1442240746309, 99254, 67
1442240747307, 100252, 65
1442240748305, 101250, 65
1442240749302, 102247, 67
1442240750299, 103244, 68
1442240751796, 104741, 70
1442240752793, 105738, 73
1442240753292, 106237, 77
1442240754289, 107234, 74
1442240755287, 108232, 71
1442240756282, 109227, 70
1442240757282, 110227, 67
1442240758276, 111221, 64
1442240759275, 112220, 66
1442240760275, 113220, 66
1442240761274, 114219, 67
1442240762270, 115215, 68
1442240763272, 116217, 68
1442240764264, 117209, 67
1442240765263, 118208, 66
1442240766260, 119205, 63
1442240767257, 120202, 60
1442240768254, 121199, 61
1442240769258, 122203, 60
