timestamp, relative_time, rr_sincestart, rr
1442240647055, 0, 899, 899
1442240648053, 998, 1801, 902
1442240649050, 1995, 2652, 851
1442240650048, 2993, 3518, 866
1442240651049, 3994, 4385, 867
1442240651049, 3994, 5216, 831
1442240652046, 4991, 6085, 869
1442240653042, 5987, 7024, 939
1442240654043, 6988, 7878, 854
1442240655036, 7981, 8722, 844
1442240656033, 8978, 9592, 870
1442240657034, 9979, 10494, 902
1442240657034, 9979, 11300, 806
1442240658031, 10976, 12119, 819
1442240659040, 11985, 12975, 856
1442240660024, 12969, 13910, 935
1442240661026, 13971, 14828, 918
1442240662021, 14966, 15793, 965
1442240663023, 15968, 16779, 986
1442240664018, 16963, 17690, 911
1442240664018, 16963, 18566, 876
1442240665011, 17956, 19410, 844
1442240666010, 18955, 20206, 796
1442240667008, 19953, 21011, 805
1442240668006, 20951, 21896, 885
1442240669004, 21949, 22875, 979
1442240670002, 22947, 23825, 950
1442240670002, 22947, 24808, 983
1442240670999, 23944, 25837, 1029
1442240671996, 24941, 26777, 940
1442240672993, 25938, 27705, 928
1442240673991, 26936, 28579, 874
1442240674987, 27932, 29379, 800
1442240675985, 28930, 30182, 803
1442240676983, 29928, 31036, 854
1442240676983, 29928, 31818, 782
1442240677978, 30923, 32573, 755
1442240681970, 34915, 33599, 1026
1442240682965, 35910, 34638, 1039
1442240683992, 36937, 35641, 1003
1442240684963, 37908, 36586, 945
1442240685963, 38908, 37464, 878
1442240686963, 39908, 38310, 846
1442240686963, 39908, 39122, 812
1442240687958, 40903, 39925, 803
1442240688955, 41900, 40724, 799
1442240689949, 42894, 41579, 855
1442240690957, 43902, 42473, 894
1442240691942, 44887, 43386, 913
1442240691942, 44887, 44369, 983
1442240693000, 45945, 45369, 1000
1442240693938, 46883, 46350, 981
1442240694943, 47888, 47288, 938
1442240695936, 48881, 48159, 871
1442240696934, 49879, 49020, 861
1442240697931, 50876, 49905, 885
1442240698930, 51875, 50766, 861
1442240699928, 52873, 51655, 889
1442240700924, 53869, 52592, 937
1442240700924, 53869, 53529, 937
1442240701922, 54867, 54415, 886
1442240702923, 55868, 55377, 962
1442240703920, 56865, 56369, 992
1442240704913, 57858, 57291, 922
1442240705912, 58857, 58214, 923
1442240706906, 59851, 59137, 923
1442240707902, 60847, 60121, 984
1442240708901, 61846, 61041, 920
1442240709898, 62843, 61943, 902
1442240711398, 64343, 62883, 940
1442240711398, 64343, 63842, 959
1442240712430, 65375, 64719, 877
1442240713390, 66335, 65624, 905
1442240714388, 67333, 66537, 913
1442240715384, 68329, 67427, 890
1442240716385, 69330, 68346, 919
1442240717383, 70328, 69304, 958
1442240718380, 71325, 70223, 919
1442240719378, 72323, 71057, 834
1442240719378, 72323, 71903, 846
1442240720375, 73320, 72755, 852
1442240721367, 74312, 73592, 837
1442240722366, 75311, 74406, 814
1442240723368, 76313, 75251, 845
1442240724364, 77309, 76174, 923
1442240724364, 77309, 77026, 852
1442240725366, 78311, 77964, 938
1442240726356, 79301, 78920, 956
1442240727358, 80303, 79799, 879
1442240728352, 81297, 80659, 860
1442240729850, 82795, 81516, 857
1442240729850, 82795, 82309, 793
1442240730849, 83794, 83067, 758
1442240731344, 84289, 83819, 752
1442240732345, 85290, 84542, 723
1442240733340, 86285, 85230, 688
1442240734337, 87282, 85885, 655
1442240734337, 87282, 86535, 650
1442240735341, 88286, 87264, 729
1442240739327, 92272, 88161, 897
1442240740324, 93269, 89117, 956
1442240741323, 94268, 90044, 927
1442240741323, 94268, 90890, 846
1442240742323, 95268, 91739, 849
1442240743317, 96262, 92575, 836
1442240744315, 97260, 93467, 892
1442240745314, 98259, 94407, 940
1442240746309, 99254, 95344, 937
1442240747307, 100252, 96307, 963
1442240748305, 101250, 97261, 954
1442240748305, 101250, 98197, 936
1442240749302, 102247, 99100, 903
1442240750299, 103244, 99976, 876
1442240751796, 104741, 100832, 856
1442240752793, 105738, 101644, 812
1442240753292, 106237, 102413, 769
1442240753292, 106237, 103212, 799
1442240754289, 107234, 104074, 862
1442240755287, 108232, 104960, 886
1442240756282, 109227, 105849, 889
1442240757282, 110227, 106817, 968
1442240758276, 111221, 107806, 989
1442240759275, 112220, 108727, 921
1442240760275, 113220, 109660, 933
1442240761274, 114219, 110612, 952
1442240761274, 114219, 111518, 906
1442240762270, 115215, 112394, 876
1442240763272, 116217, 113303, 909
1442240764264, 117209, 114251, 948
1442240765263, 118208, 115192, 941
1442240766260, 119205, 116220, 1028
1442240767257, 120202, 117286, 1066
1442240768254, 121199, 118286, 1000
1442240769258, 122203, 119306, 1020
