timestamp, relative_time, heart_rate
1442315985019, 0, 58
1442315986005, 986, 57
1442315987017, 1998, 57
1442315987991, 2972, 59
1442315989024, 4005, 58
1442315990009, 4990, 60
1442315991018, 5999, 63
1442315992013, 6994, 65
1442315993501, 8482, 65
1442315994594, 9575, 63
1442315995495, 10476, 67
1442315996686, 11667, 71
1442315997585, 12566, 71
1442315998586, 13567, 71
1442315999584, 14565, 110
1442316000478, 15459, 110
1442316001577, 16558, 110
1442316002572, 17553, 110
1442316003569, 18550, 110
1442316004472, 19453, 110
1442316005475, 20456, 110
1442316006467, 21448, 0
1442316007465, 22446, 0
1442316008561, 23542, 0
1442316009456, 24437, 0
1442316010555, 25536, 0
1442316011546, 26527, 0
1442316012454, 27435, 0
1442316013450, 28431, 0
1442316014524, 29505, 0
1442316015539, 30520, 0
1442316016538, 31519, 0
1442316017534, 32515, 0
1442316018438, 33419, 0
1442316019533, 34514, 0
1442316020526, 35507, 0
1442316021429, 36410, 0
1442316022427, 37408, 0
1442316023485, 38466, 0
1442316024423, 39404, 0
1442316025421, 40402, 0
1442316026417, 41398, 0
1442316027415, 42396, 0
1442316028591, 43572, 0
1442316029502, 44483, 0
1442316030407, 45388, 0
1442316031405, 46386, 0
1442316032444, 47425, 0
1442316033497, 48478, 0
1442316034493, 49474, 0
1442316035491, 50472, 0
1442316036391, 51372, 0
1442316037487, 52468, 0
1442316038485, 53466, 63
1442316039384, 54365, 66
1442316040382, 55363, 67
1442316041405, 56386, 67
1442316042472, 57453, 67
1442316043474, 58455, 67
1442316044468, 59449, 67
1442316045511, 60492, 67
1442316047538, 62519, 67
1442316047955, 62936, 67
1442316048188, 63169, 67
1442316048962, 63943, 67
1442316049958, 64939, 67
1442316050960, 65941, 67
1442316051984, 66965, 79
1442316053398, 68379, 79
1442316054339, 69320, 79
1442316055339, 70320, 82
1442316056425, 71406, 83
1442316057426, 72407, 86
1442316058429, 73410, 87
1442316059329, 74310, 88
1442316060423, 75404, 112
1442316061417, 76398, 128
1442316062414, 77395, 128
1442316063324, 78305, 138
1442316064409, 79390, 138
1442316065405, 80386, 147
1442316066415, 81396, 147
1442316067406, 82387, 121
1442316068306, 83287, 108
1442316069401, 84382, 102
1442316070302, 85283, 102
1442316071298, 86279, 102
1442316072296, 87277, 102
1442316073294, 88275, 94
1442316074293, 89274, 91
1442316075290, 90271, 90
1442316076287, 91268, 91
1442316077283, 92264, 90
1442316078374, 93355, 92
1442316079371, 94352, 91
1442316080372, 95353, 92
1442316081274, 96255, 90
1442316082361, 97342, 93
1442316083362, 98343, 93
1442316084360, 99341, 94
1442316085362, 100343, 92
1442316086260, 101241, 91
1442316087351, 102332, 90
1442316088349, 103330, 89
1442316089254, 104235, 87
1442316090251, 105232, 87
1442316091248, 106229, 87
1442316092327, 107308, 87
1442316093244, 108225, 87
1442316094241, 109222, 88
1442316095236, 110217, 89
1442316096236, 111217, 90
1442316097256, 112237, 90
1442316098328, 113309, 112
1442316099229, 114210, 112
1442316100277, 115258, 112
1442316101321, 116302, 101
1442316102314, 117295, 100
1442316103213, 118194, 119
1442316104216, 119197, 137
1442316105211, 120192, 137
1442316106211, 121192, 137
1442316107303, 122284, 137
1442316108206, 123187, 115
1442316109236, 124217, 105
1442316110297, 125278, 101
1442316111297, 126278, 98
1442316112292, 127273, 101
1442316113287, 128268, 101
1442316114217, 129198, 101
1442316115183, 130164, 101
1442316116186, 131167, 101
1442316117231, 132212, 101
1442316118181, 133162, 101
1442316119280, 134261, 101
1442316120400, 135381, 101
1442316121267, 136248, 101
1442316122171, 137152, 101
1442316123668, 138649, 101
1442316124664, 139645, 84
1442316125761, 140742, 79
1442316126755, 141736, 79
1442316127754, 142735, 77
1442316128655, 143636, 81
1442316129716, 144697, 82
1442316130747, 145728, 83
1442316131745, 146726, 84
1442316132739, 147720, 83
1442316133641, 148622, 81
1442316134733, 149714, 82
1442316135729, 150710, 81
1442316136728, 151709, 80
1442316137633, 152614, 80
1442316138680, 153661, 81
1442316139715, 154696, 77
1442316140719, 155700, 79
1442316141622, 156603, 78
1442316142620, 157601, 83
1442316143613, 158594, 81
1442316144615, 159596, 82
1442316145613, 160594, 77
1442316146609, 161590, 78
1442316147635, 162616, 74
1442316148709, 163690, 76
1442316149699, 164680, 77
1442316150693, 165674, 77
1442316151604, 166585, 77
1442316152691, 167672, 81
1442316153687, 168668, 81
1442316154593, 169574, 82
1442316155585, 170566, 78
1442316156599, 171580, 79
1442316157679, 172660, 77
1442316158676, 173657, 77
1442316159672, 174653, 77
1442316160574, 175555, 77
1442316161670, 176651, 77
1442316162664, 177645, 78
1442316163662, 178643, 81
1442316164566, 179547, 85
1442316165562, 180543, 88
1442316166654, 181635, 92
1442316167650, 182631, 92
1442316168556, 183537, 91
1442316169553, 184534, 90
1442316170545, 185526, 90
1442316171548, 186529, 91
1442316172542, 187523, 91
1442316173541, 188522, 106
1442316174538, 189519, 106
