timestamp, relative_time, heart_rate
1442325255781, 0, 69
1442325256785, 1004, 68
1442325257775, 1994, 65
1442325258772, 2991, 64
1442325259776, 3995, 62
1442325260767, 4986, 61
1442325261764, 5983, 63
1442325262859, 7078, 66
1442325263797, 8016, 70
1442325264756, 8975, 70
1442325265754, 9973, 70
1442325266750, 10969, 72
1442325267750, 11969, 71
1442325268747, 12966, 72
1442325269823, 14042, 74
1442325270742, 14961, 75
1442325271738, 15957, 79
1442325272759, 16978, 80
1442325273734, 17953, 83
1442325274734, 18953, 86
1442325275825, 20044, 88
1442325276726, 20945, 90
1442325277821, 22040, 91
1442325278818, 23037, 91
1442325279808, 24027, 91
1442325280717, 24936, 91
1442325281795, 26014, 91
1442325282807, 27026, 91
1442325283806, 28025, 0
1442325284799, 29018, 0
1442325285704, 29923, 0
1442325286701, 30920, 0
1442325287698, 31917, 0
1442325288697, 32916, 0
1442325289694, 33913, 0
1442325290691, 34910, 0
1442325291688, 35907, 0
1442325292687, 36906, 0
1442325293683, 37902, 0
1442325294682, 38901, 0
1442325295780, 39999, 74
1442325296772, 40991, 66
1442325297674, 41893, 65
1442325298670, 42889, 68
1442325299664, 43883, 72
1442325300768, 44987, 79
1442325301757, 45976, 81
1442325302754, 46973, 80
1442325303658, 47877, 78
1442325304748, 48967, 78
1442325305654, 49873, 78
1442325306651, 50870, 79
1442325307648, 51867, 82
1442325308646, 52865, 83
1442325309644, 53863, 86
1442325310727, 54946, 86
1442325311639, 55858, 86
1442325312636, 56855, 90
1442325313634, 57853, 93
1442325314630, 58849, 94
1442325315722, 59941, 95
1442325316723, 60942, 94
1442325317623, 61842, 94
1442325318717, 62936, 95
1442325319712, 63931, 93
1442325320709, 64928, 94
1442325321614, 65833, 93
1442325322611, 66830, 94
1442325323606, 67825, 94
1442325324605, 68824, 95
1442325325601, 69820, 96
1442325326599, 70818, 97
1442325327692, 71911, 97
1442325328685, 72904, 99
1442325329691, 73910, 98
1442325330594, 74813, 95
1442325331587, 75806, 95
1442325332586, 76805, 94
1442325333584, 77803, 93
1442325335080, 79299, 93
1442325336078, 80297, 92
1442325337075, 81294, 93
1442325338073, 82292, 91
1442325339167, 83386, 91
1442325340163, 84382, 93
1442325341162, 85381, 94
1442325342064, 86283, 96
1442325343157, 87376, 97
1442325344149, 88368, 99
1442325345149, 89368, 101
1442325346150, 90369, 101
1442325347049, 91268, 102
1442325348048, 92267, 100
1442325349138, 93357, 99
1442325350140, 94359, 99
1442325351042, 95261, 97
1442325352115, 96334, 96
1442325353132, 97351, 96
1442325354131, 98350, 97
1442325355126, 99345, 96
1442325356027, 100246, 95
1442325357025, 101244, 96
1442325358065, 102284, 95
1442325359021, 103240, 94
1442325360017, 104236, 96
1442325361015, 105234, 101
1442325362009, 106228, 101
1442325363102, 107321, 101
1442325364008, 108227, 100
