timestamp, relative_time, rr_sincestart, rr
1442325255781, 0, 852, 852
1442325256785, 1004, 1753, 901
1442325257775, 1994, 2738, 985
1442325258772, 2991, 3708, 970
1442325259776, 3995, 4739, 1031
1442325260767, 4986, 5769, 1030
1442325261764, 5983, 6710, 941
1442325262859, 7078, 7614, 904
1442325263797, 8016, 8496, 882
1442325263797, 8016, 9346, 850
1442325264756, 8975, 10224, 878
1442325265754, 9973, 11085, 861
1442325266750, 10969, 11931, 846
1442325267750, 11969, 12801, 870
1442325268747, 12966, 13655, 854
1442325269823, 14042, 14462, 807
1442325270742, 14961, 15260, 798
1442325271738, 15957, 16022, 762
1442325271738, 15957, 16791, 769
1442325272759, 16978, 17545, 754
1442325273734, 17953, 18260, 715
1442325274734, 18953, 18978, 718
1442325274734, 18953, 19680, 702
1442325275825, 20044, 20362, 682
1442325276726, 20945, 21036, 674
1442325276726, 20945, 21711, 675
1442325277821, 22040, 22376, 665
1442325294682, 38901, 31301, 8925
1442325295780, 39999, 32094, 793
1442325295780, 39999, 32978, 884
1442325296772, 40991, 34030, 1052
1442325297674, 41893, 34981, 951
1442325298670, 42889, 35847, 866
1442325299664, 43883, 36660, 813
1442325300768, 44987, 37413, 753
1442325300768, 44987, 38178, 765
1442325301757, 45976, 38917, 739
1442325302754, 46973, 39688, 771
1442325303658, 47877, 40453, 765
1442325303658, 47877, 41258, 805
1442325304748, 48967, 42059, 801
1442325305654, 49873, 42832, 773
1442325306651, 50870, 43605, 773
1442325306651, 50870, 44372, 767
1442325307648, 51867, 45104, 732
1442325308646, 52865, 45836, 732
1442325309644, 53863, 46548, 712
1442325309644, 53863, 47258, 710
1442325312636, 56855, 47910, 652
1442325313634, 57853, 48563, 653
1442325313634, 57853, 49218, 655
1442325314630, 58849, 49870, 652
1442325314630, 58849, 50522, 652
1442325315722, 59941, 51162, 640
1442325316723, 60942, 51813, 651
1442325317623, 61842, 52472, 659
1442325318717, 62936, 53122, 650
1442325318717, 62936, 53771, 649
1442325319712, 63931, 54442, 671
1442325320709, 64928, 55093, 651
1442325320709, 64928, 55746, 653
1442325321614, 65833, 56414, 668
1442325322611, 66830, 57082, 668
1442325322611, 66830, 57732, 650
