timestamp, relative_time, heart_rate
1442410568498, 0, 57
1442410569482, 984, 57
1442410570497, 1999, 57
1442410571523, 3025, 57
1442410572504, 4006, 58
1442410573522, 5024, 62
1442410574501, 6003, 65
1442410575521, 7023, 65
1442410576495, 7997, 65
1442410577611, 9113, 65
1442410578674, 10176, 65
1442410579617, 11119, 65
1442410580493, 11995, 65
1442410581608, 13110, 65
1442410582632, 14134, 65
1442410583515, 15017, 0
1442410584847, 16349, 0
1442410585747, 17249, 75
1442410586743, 18245, 75
1442410587745, 19247, 78
1442410588839, 20341, 80
1442410589832, 21334, 82
1442410590737, 22239, 84
1442410591735, 23237, 79
1442410592733, 24235, 81
1442410593730, 25232, 80
1442410594725, 26227, 85
1442410595723, 27225, 85
1442410596818, 28320, 78
1442410597813, 29315, 77
1442410598813, 30315, 71
1442410599715, 31217, 71
1442410600805, 32307, 71
1442410601710, 33212, 71
1442410602708, 34210, 84
1442410603704, 35206, 84
1442410604745, 36247, 84
1442410605793, 37295, 106
1442410606789, 38291, 106
1442410607793, 39295, 106
1442410608692, 40194, 106
1442410609690, 41192, 106
1442410610688, 42190, 0
1442410611777, 43279, 0
1442410612683, 44185, 168
1442410613705, 45207, 168
1442410614774, 46276, 168
1442410615771, 47273, 168
1442410616766, 48268, 168
1442410617671, 49173, 168
1442410618665, 50167, 168
1442410619665, 51167, 168
1442410620664, 52166, 168
1442410621660, 53162, 168
1442410622666, 54168, 168
1442410623750, 55252, 0
1442410624855, 56357, 0
1442410625741, 57243, 0
1442410626648, 58150, 0
1442410627738, 59240, 0
1442410628738, 60240, 0
1442410629733, 61235, 0
1442410630730, 62232, 99
1442410631640, 63142, 92
1442410632725, 64227, 90
1442410633630, 65132, 88
1442410634628, 66130, 90
1442410635625, 67127, 92
1442410636622, 68124, 93
1442410637619, 69121, 95
1442410638618, 70120, 94
1442410639639, 71141, 89
1442410640610, 72112, 89
1442410641611, 73113, 85
1442410642701, 74203, 85
1442410643698, 75200, 84
1442410644603, 76105, 81
1442410645697, 77199, 79
1442410646598, 78100, 79
1442410647771, 79273, 80
1442410648595, 80097, 83
1442410649590, 81092, 83
1442410650680, 82182, 86
1442410652084, 83586, 87
1442410653082, 84584, 86
1442410654206, 85708, 86
1442410655076, 86578, 86
1442410656074, 87576, 86
1442410657165, 88667, 86
1442410658166, 89668, 87
1442410659165, 90667, 84
1442410660064, 91566, 82
1442410661062, 92564, 79
1442410662060, 93562, 81
1442410663054, 94556, 78
1442410664146, 95648, 80
1442410665052, 96554, 79
1442410666146, 97648, 75
1442410667142, 98644, 74
1442410668139, 99641, 74
1442410669136, 100638, 74
1442410670038, 101540, 75
1442410671128, 102630, 80
1442410672125, 103627, 80
1442410673122, 104624, 78
1442410674028, 105530, 74
1442410675122, 106624, 74
1442410676117, 107619, 77
1442410677026, 108528, 79
1442410678019, 109521, 84
1442410679016, 110518, 84
1442410680106, 111608, 82
1442410681103, 112605, 77
1442410682010, 113512, 76
1442410683046, 114548, 77
1442410684004, 115506, 77
1442410685002, 116504, 77
1442410685998, 117500, 78
1442410686997, 118499, 80
1442410687994, 119496, 81
1442410689191, 120693, 82
1442410690082, 121584, 80
1442410690986, 122488, 79
1442410691985, 123487, 78
1442410693070, 124572, 77
1442410694075, 125577, 77
1442410695069, 126571, 75
1442410696070, 127572, 75
1442410696972, 128474, 70
1442410697969, 129471, 66
1442410698967, 130469, 65
1442410700063, 131565, 63
1442410700962, 132464, 62
1442410702027, 133529, 61
1442410702956, 134458, 59
1442410704002, 135504, 58
1442410704953, 136455, 57
1442410705947, 137449, 55
1442410706945, 138447, 57
1442410708036, 139538, 59
1442410709041, 140543, 62
1442410709939, 141441, 65
1442410710937, 142439, 65
1442410711934, 143436, 66
1442410713027, 144529, 65
1442410714023, 145525, 67
1442410714931, 146433, 69
1442410716017, 147519, 71
1442410717011, 148513, 71
1442410718014, 149516, 74
1442410718918, 150420, 74
1442410719915, 151417, 75
1442410721005, 152507, 70
1442410721910, 153412, 71
1442410722908, 154410, 71
1442410723904, 155406, 68
1442410724902, 156404, 68
1442410725897, 157399, 72
1442410726897, 158399, 71
1442410727905, 159407, 69
1442410728912, 160414, 70
1442410729985, 161487, 68
1442410730981, 162483, 70
1442410731981, 163483, 67
1442410732882, 164384, 63
1442410733972, 165474, 62
1442410734975, 166477, 62
1442410735972, 167474, 61
1442410736872, 168374, 63
