timestamp, relative_time, heart_rate
1442439415736, 0, 61
1442439416713, 977, 60
1442439417737, 2001, 59
1442439418713, 2977, 61
1442439419737, 4001, 62
1442439420767, 5031, 64
1442439421763, 6027, 68
1442439422761, 7025, 68
1442439423735, 7999, 68
1442439424935, 9199, 69
1442439425931, 10195, 68
1442439426929, 11193, 69
1442439427927, 12191, 67
1442439428924, 13188, 70
1442439429921, 14185, 68
1442439430919, 15183, 66
1442439431916, 16180, 67
1442439432914, 17178, 64
1442439433912, 18176, 63
1442439434909, 19173, 68
1442439435906, 20170, 72
1442439436904, 21168, 75
1442439437901, 22165, 75
1442439438899, 23163, 68
1442439439896, 24160, 64
1442439440894, 25158, 64
1442439441891, 26155, 63
1442439442895, 27159, 62
1442439443886, 28150, 63
1442439444880, 29144, 62
1442439445882, 30146, 63
1442439446880, 31144, 62
1442439447876, 32140, 63
1442439448875, 33139, 60
1442439449872, 34136, 61
1442439450869, 35133, 61
1442439451866, 36130, 59
1442439452865, 37129, 61
1442439453861, 38125, 61
1442439454858, 39122, 62
1442439455857, 40121, 63
1442439456856, 41120, 61
1442439457851, 42115, 61
1442439458849, 43113, 61
1442439459847, 44111, 60
1442439460844, 45108, 62
1442439461841, 46105, 61
1442439462839, 47103, 61
1442439463838, 48102, 63
1442439464833, 49097, 62
1442439465829, 50093, 62
1442439466829, 51093, 62
1442439467826, 52090, 61
1442439468824, 53088, 63
1442439469822, 54086, 61
1442439470820, 55084, 62
1442439471816, 56080, 64
1442439472814, 57078, 63
1442439473811, 58075, 63
1442439474809, 59073, 65
1442439475807, 60071, 63
1442439476804, 61068, 63
1442439477802, 62066, 64
1442439479298, 63562, 66
1442439480296, 64560, 65
1442439481293, 65557, 66
1442439482290, 66554, 67
1442439483287, 67551, 65
1442439484286, 68550, 67
1442439485282, 69546, 66
1442439486280, 70544, 65
1442439487279, 71543, 66
1442439488276, 72540, 68
1442439489274, 73538, 69
1442439490270, 74534, 70
1442439491268, 75532, 74
1442439492265, 76529, 75
1442439493263, 77527, 68
1442439494260, 78524, 66
