timestamp, relative_time, heart_rate
1442469144658, 0, 57
1442469145662, 1004, 58
1442469146651, 1993, 56
1442469147647, 2989, 56
1442469148642, 3984, 55
1442469149646, 4988, 55
1442469150636, 5978, 53
1442469151639, 6981, 53
1442469152730, 8072, 53
1442469153729, 9071, 55
1442469154630, 9972, 58
1442469155632, 10974, 62
1442469156627, 11969, 65
1442469157720, 13062, 67
1442469158715, 14057, 65
1442469159617, 14959, 63
1442469160704, 16046, 65
1442469161708, 17050, 67
1442469162701, 18043, 68
1442469163702, 19044, 73
1442469164607, 19949, 73
1442469165608, 20950, 73
1442469166599, 21941, 73
1442469167688, 23030, 75
1442469168595, 23937, 75
1442469169688, 25030, 73
1442469170681, 26023, 73
1442469171678, 27020, 75
1442469172681, 28023, 75
1442469173582, 28924, 76
1442469174676, 30018, 77
1442469175668, 31010, 77
1442469176667, 32009, 79
1442469177577, 32919, 78
1442469178668, 34010, 78
1442469179566, 34908, 79
1442469180564, 35906, 79
1442469181558, 36900, 79
1442469182560, 37902, 77
1442469183650, 38992, 75
1442469184646, 39988, 75
1442469185648, 40990, 76
1442469186550, 41892, 76
1442469187631, 42973, 78
1442469188542, 43884, 79
1442469189542, 44884, 80
1442469190541, 45883, 82
1442469191536, 46878, 82
1442469192630, 47972, 81
1442469193625, 48967, 75
1442469194622, 49964, 75
1442469195528, 50870, 74
1442469196524, 51866, 72
1442469197522, 52864, 72
1442469198615, 53957, 75
1442469199608, 54950, 76
1442469200514, 55856, 76
1442469201606, 56948, 75
1442469202603, 57945, 70
1442469203603, 58945, 68
1442469204504, 59846, 68
1442469205558, 60900, 69
1442469206592, 61934, 73
1442469207588, 62930, 75
1442469209086, 64428, 76
1442469209492, 64834, 76
1442469210487, 65829, 74
1442469211489, 66831, 74
1442469212492, 67834, 73
1442469213482, 68824, 71
1442469214517, 69859, 71
1442469215571, 70913, 71
1442469216632, 71974, 72
1442469217571, 72913, 74
1442469218470, 73812, 74
1442469219564, 74906, 78
1442469220465, 75807, 79
1442469221462, 76804, 77
1442469222555, 77897, 77
1442469223473, 78815, 73
1442469224455, 79797, 73
1442469225452, 80794, 73
1442469226540, 81882, 73
1442469227447, 82789, 72
1442469228538, 83880, 74
1442469229531, 84873, 73
1442469230439, 85781, 73
1442469231437, 86779, 73
1442469232490, 87832, 74
1442469233432, 88774, 77
1442469234431, 89773, 79
1442469235507, 90849, 82
1442469236425, 91767, 84
1442469237523, 92865, 86
1442469238511, 93853, 86
1442469239518, 94860, 84
1442469241012, 96354, 78
1442469241413, 96755, 80
1442469242495, 97837, 79
1442469243406, 98748, 80
1442469244402, 99744, 82
1442469245403, 100745, 81
1442469246400, 101742, 79
1442469247398, 102740, 76
1442469248395, 103737, 75
1442469249392, 104734, 73
1442469250391, 105733, 75
1442469251483, 106825, 70
1442469252884, 108226, 70
1442469253377, 108719, 71
1442469254377, 109719, 71
1442469255465, 110807, 71
1442469256873, 112215, 76
1442469257372, 112714, 75
1442469258370, 113712, 73
1442469259953, 115295, 70
1442469260365, 115707, 70
1442469262358, 117700, 68
1442469262393, 117735, 70
1442469263358, 118700, 69
1442469264355, 119697, 68
1442469265351, 120693, 70
1442469266447, 121789, 69
1442469267348, 122690, 69
1442469268847, 124189, 72
1442469269842, 125184, 74
1442469270838, 126180, 71
1442469272031, 127373, 71
1442469272834, 128176, 67
1442469273828, 129170, 66
1442469275327, 130669, 67
1442469275826, 131168, 66
1442469276914, 132256, 70
1442469278417, 133759, 69
1442469278823, 134165, 68
1442469280530, 135872, 70
1442469280814, 136156, 69
1442469281906, 137248, 69
1442469283400, 138742, 68
1442469283806, 139148, 68
1442469284895, 140237, 68
1442469285893, 141235, 71
1442469286890, 142232, 69
1442469287797, 143139, 68
1442469288794, 144136, 72
1442469289887, 145229, 71
