timestamp, relative_time, rr_sincestart, rr
1442469144658, 0, 1067, 1067
1442469145662, 1004, 2129, 1062
1442469146651, 1993, 3265, 1136
1442469147647, 2989, 4358, 1093
1442469148642, 3984, 5494, 1136
1442469150636, 5978, 6692, 1198
1442469151639, 6981, 7841, 1149
1442469152730, 8072, 8989, 1148
1442469153729, 9071, 10076, 1087
1442469154630, 9972, 11100, 1024
1442469155632, 10974, 12024, 924
1442469156627, 11969, 12890, 866
1442469156627, 11969, 13788, 898
1442469157720, 13062, 14678, 890
1442469158715, 14057, 15648, 970
1442469159617, 14959, 16643, 995
1442469160704, 16046, 17556, 913
1442469161708, 17050, 18453, 897
1442469162701, 18043, 19345, 892
1442469163702, 19044, 20164, 819
1442469163702, 19044, 20998, 834
1442469164607, 19949, 21828, 830
1442469165608, 20950, 22671, 843
1442469166599, 21941, 23511, 840
1442469167688, 23030, 24318, 807
1442469168595, 23937, 25148, 830
1442469168595, 23937, 25972, 824
1442469169688, 25030, 26823, 851
1442469170681, 26023, 27661, 838
1442469171678, 27020, 28464, 803
1442469172681, 28023, 29303, 839
1442469172681, 28023, 30118, 815
1442469173582, 28924, 30917, 799
1442469174676, 30018, 31692, 775
1442469175668, 31010, 32502, 810
1442469175668, 31010, 33294, 792
1442469176667, 32009, 34066, 772
1442469177577, 32919, 34868, 802
1442469178668, 34010, 35655, 787
1442469179566, 34908, 36421, 766
1442469179566, 34908, 37199, 778
1442469180564, 35906, 37976, 777
1442469181558, 36900, 38741, 765
1442469182560, 37902, 39535, 794
1442469182560, 37902, 40342, 807
1442469183650, 38992, 41179, 837
1442469184646, 39988, 42008, 829
1442469185648, 40990, 42809, 801
1442469186550, 41892, 43619, 810
1442469186550, 41892, 44420, 801
1442469187631, 42973, 45199, 779
1442469188542, 43884, 45953, 754
1442469189542, 44884, 46726, 773
1442469189542, 44884, 47483, 757
1442469190541, 45883, 48226, 743
1442469191536, 46878, 48960, 734
1442469191536, 46878, 49710, 750
1442469192630, 47972, 50488, 778
1442469193625, 48967, 51370, 882
