   n  timestamp       rr   bpm
   1               0   765  78
   2            1000   748  80
   3            1748   800  75
   4            2549   880  68
   5            3494   799  75
   6            4294   812  74
   7            5490   845  71
   8            6336   861  70
   9            7197   827  73
  10            8025   829  72
  11            8855   891  67
  12            9747   866  69
  13           10614   844  71
  14           11459   845  71
  15           12305   854  70
  16           13159   846  71
  17           14006   804  75
  18           14811   797  75
  19           15609   811  74
  20           16421   876  68
  21           17298   841  71
  22           18139   863  70
  23           19003   889  67
  24           19893   857  70
  25           20751   777  77
  26           21529   787  76
  27           22317   812  74
  28           23129   751  80
  29           23881   709  85
  30           24591   676  89
  31           25267   726  83
  32           25994   781  77
  33           26776   790  76
  34           27567   786  76
  35           28353   755  79
  36           29109   703  85
  37           29813   686  87
  38           30500   666  90
  39           31166   654  92
  40           31821   645  93
  41           32466   634  95
  42           33101   626  96
  43           33728   629  95
  44           34357   643  93
  45           35001   661  91
  46           35663   679  88
  47           36342   693  87
  48           37036   684  88
  49           37721   684  88
  50           38405   698  86
  51           39104   692  87
  52           39797   684  88
  53           40481   668  90
  54           41150   659  91
  55           41810   652  92
  56           42462   646  93
  57           43109   630  95
  58           43740   622  96
  59           44362   635  94
  60           44998   734  82
  61           45733   915  66
  62           46649   810  74
  63           47460   769  78
  64           48229   753  80
  65           48983   736  82
  66           49720   700  86
  67           50420   697  86
  68           51118   710  85
  69           51829   712  84
  70           52542   704  85
  71           53246   713  84
  72           53960   716  84
  73           54677   705  85
  74           55382   701  86
  75           56084   731  82
  76           56816   779  77
  77           57596   796  75
  78           58392   782  77
  79           59175   801  75
  80           59977   829  72
  81           60807   817  73
  82           61625   776  77
  83           62401   782  77
  84           63184   809  74
  85           63994   796  75
  86           64791   782  77
  87           65574   811  74
  88           66386   856  70
  89           67242   822  73
  90           68065   794  76
  91           68860   807  74
  92           69668   818  73
  93           70487   813  74
  94           71300   801  75
  95           72102   817  73
  96           72920   813  74
  97           73734   779  77
  98           74514   783  77
  99           75297   781  77
 100           76079   793  76
 101           76873   759  79
 102           77633   770  78
 103           78403   817  73
 104           79221   793  76
 105           80015   751  80
 106           80767   726  83
 107           81493   734  82
 108           82228   750  80
 109           82979   741  81
 110           83721   729  82
 111           84450   739  81
 112           85190   779  77
 113           85970   760  79
 114           86731   759  79
 115           87490   759  79
 116           88250   759  79
 117           89010   751  80
 118           89762   743  81
 119           90505   749  80
 120           91255   764  79
 121           92020   764  79
 122           92785   735  82
 123           93520   729  82
 124           94250   739  81
 125           94990   730  82
 126           95721   733  82
 127           96454   766  78
 128           97221   800  75
 129           98022   812  74
 130           98835   789  76
 131           99625   804  75
 132          100429   809  74
 133          101239   796  75
 134          102036   777  77
 135          102814   780  77
 136          103595   795  75
 137          104390   780  77
 138          105171   760  79
 139          105932   773  78
 140          106706   783  77
 141          107489   771  78
 142          108261   753  80
 143          109015   749  80
 144          109765   750  80
 145          110515   742  81
 146          111258   725  83
 147          111984   729  82
 148          112714   740  81
 149          113454   743  81
 150          114198   735  82
 151          114934   720  83
 152          115655   734  82
 153          116389   729  82
 154          117119   726  83
 155          117846   700  86
 156          118546   669  90
 157          119216   685  88
 158          119902   703  85
 159          120605   686  87
 160          121292   674  89
 161          121967   660  91
 162          122627   654  92
 163          123282   658  91
 164          123941   657  91
 165          124598   653  92
 166          125252   679  88
 167          125932   732  82
 168          126665   827  73
 169          127492   810  74
 170          128303   816  74
 171          129120   762  79
 172          129883   700  86
 173          130583   680  88
 174          131264   658  91
 175          131923   663  90
 176          132586   666  90
 177          133253   664  90
 178          133918   670  90
 179          134588   712  84
 180          135301   749  80
 181          136051   721  83
 182          136773   742  81
 183          137515   766  78
 184          138282   770  78
 185          139053   723  83
 186          139777   734  82
 187          140511   725  83
 188          141237   697  86
 189          141935   678  88
 190          142613   667  90
 191          143281   657  91
 192          143939   644  93
 193          144583   630  95
 194          145214   641  94
 195          145856   646  93
 196          146502   654  92
 197          147157   668  90
 198          147826   693  87
 199          148519   726  83
 200          149246   726  83
 201          149973   715  84
 202          150688   720  83
 203          151409   708  85
 204          152118   695  86
 205          152814   665  90
 206          153479   656  91
 207          154136   656  91
 208          154792   652  92
 209          155445   642  93
 210          156088   651  92
 211          156739   686  87
 212          157426   698  86
 213          158125   721  83
 214          158847   774  78
 215          159621   726  83
 216          160348   739  81
 217          161088   715  84
 218          161804   693  87
 219          162497   695  86
 220          163193   706  85
 221          163900   708  85
 222          164608   707  85
 223          165316   724  83
 224          166041   747  80
 225          166789   719  83
 226          167508   721  83
 227          168230   718  84
 228          168949   678  88
 229          169627   673  89
 230          170301   668  90
 231          170970   648  93
 232          171618   637  94
 233          172256   646  93
 234          172903   676  89
 235          173579   683  88
 236          174263   727  83
 237          174991   781  77
 238          175773   750  80
 239          176523   760  79
 240          177284   756  79
 241          178041   729  82
 242          178770   699  86
 243          179470   694  86
 244          180165   639  94
 245          180805   728  82
 246          181533   667  90
 247          182201   666  90
 248          182868   691  87
 249          183559   670  90
 250          184230   681  88
 251          184912   661  91
 252          185573   647  93
 253          186221   631  95
 254          186852   628  96
 255          187481   639  94
 256          188121   624  96
 257          188745   604  99
 258          189350   598 100
 259          189948   585 103
 260          190534   584 103
 261          191119   578 104
 262          191697   578 104
 263          192276   574 105
 264          192850   583 103
 265          193434   598 100
 266          194033   606  99
 267          194639   599 100
 268          195239   599 100
 269          195838   611  98
 270          196450   614  98
 271          197065   615  98
 272          197680   612  98
 273          198293   621  97
 274          198914   615  98
 275          199530   613  98
 276          200144   626  96
 277          200770   622  96
 278          201393   627  96
 279          202021   619  97
 280          202640   525 114
 281          203990   461 130
 282          204452   602 100
 283          205055   600 100
 284          205655   602 100
 285          206258   609  99
 286          206867   610  98
 287          207478   611  98
 288          208090   602 100
 289          208692   605  99
 290          209298   592 101
 291          209890   589 102
 292          210480   588 102
 293          211098   589 102
 294          211958   318 189
 295          212277   587 102
 296          212864   589 102
 297          213454   583 103
 298          214037   581 103
 299          214619   581 103
 300          215201   578 104
 301          215779   572 105
 302          216352   572 105
 303          216924   579 104
 304          217504   575 104
 305          218080   583 103
 306          218663   585 103
 307          219249   588 102
 308          219837   584 103
 309          220422   580 103
 310          221002   588 102
 311          221591   586 102
 312          222178   584 103
 313          222762   579 104
 314          223342   574 105
 315          223916   569 105
 316          224486   561 107
 317          225047   544 110
 318          225592   571 105
 319          226164   597 101
 320          227032   342 175
 321          227375   645  93
 322          228020   584 103
 323          228605   385 156
 324          228990   438 137
 325          229429   401 150
 326          229830   602 100
 327          230433   596 101
 328          231029   591 102
 329          231621   589 102
 330          232211   578 104
 331          232789   287 209
 332          233360   563 107
 333          233923   556 108
 334          234480   548 109
 335          235028   552 109
 336          235581   556 108
 337          236138   564 106
 338          236702   577 104
 339          237280   603 100
 340          237883   621  97
 341          238505   426 141
 342          238932   879  68
 343          239811   647  93
 344          240459   290 207
 345          240749   366 164
 346          241116   643  93
 347          241759   621  97
 348          242381   618  97
 349          243263   335 179
 350          243599   584 103
 351          244184   582 103
 352          244766   581 103
 353          245348   586 102
 354          245934   580 103
 355          246515   575 104
 356          247090   579 104
 357          247670   573 105
 358          248244   571 105
 359          248815   566 106
 360          249382   565 106
 361          249947   556 108
 362          250504   551 109
 363          251055   550 109
 364          251606   545 110
 365          252151   543 110
 366          252695   545 110
 367          253241   541 111
 368          253782   540 111
 369          254323   542 111
 370          254865   493 122
 371          255359   589 102
 372          255948   309 194
 373          256258   771  78
 374          257029   539 111
 375          257569   537 112
 376          258106   540 111
 377          258647   541 111
 378          259188   553 108
 379          259742   560 107
 380          260303   575 104
 381          260878   574 105
 382          261453   583 103
 383          262036   600 100
 384          262637   603 100
 385          263241   608  99
 386          263849   612  98
 387          264462   609  99
 388          265071   602 100
 389          265674   600 100
 390          266275   602 100
 391          266877   594 101
 392          267472   592 101
 393          268064   597 101
 394          268662   582 103
 395          269245   581 103
 396          269826   576 104
 397          270403   566 106
 398          270969   563 107
 399          271533   560 107
 400          272093   559 107
 401          272653   556 108
 402          273209   568 106
 403          273778   564 106
 404          274343   568 106
 405          274911   580 103
 406          275492   577 104
 407          276069   577 104
 408          276647   570 105
 409          277217   575 104
 410          277793   567 106
 411          278361   570 105
 412          278931   576 104
 413          279508   568 106
 414          280076   558 108
 415          280635   553 108
 416          281188   552 109
 417          281741   552 109
 418          282294   548 109
 419          282842   560 107
 420          283403   564 106
 421          283967   586 102
 422          284554   582 103
 423          285136   582 103
 424          285719   595 101
 425          286315   589 102
 426          286904   590 102
 427          287495   588 102
 428          288083   590 102
 429          288674   583 103
 430          289257   576 104
 431          289834   576 104
 432          290411   567 106
 433          290978   563 107
 434          291542   561 107
 435          292103   559 107
 436          292663   551 109
 437          293214   555 108
 438          293770   565 106
 439          294336   562 107
 440          294898   563 107
 441          295462   560 107
 442          296022   575 104
 443          296598   574 105
 444          297172   577 104
 445          297750   584 103
 446          298335   570 105
 447          298905   572 105
 448          299478   573 105
 449          300051   569 105
 450          300621   564 106
 451          301185   561 107
 452          301747   564 106
 453          302311   561 107
 454          302873   561 107
 455          303435   566 106
 456          304001   559 107
 457          304561   563 107
 458          305124   562 107
 459          305687   581 103
 460          306268   582 103
 461          306851   578 104
 462          307430   593 101
 463          308023   600 100
 464          308624   598 100
 465          309222   599 100
 466          309822   599 100
 467          310422   599 100
 468          311021   584 103
 469          311606   581 103
 470          312187   592 101
 471          312780   594 101
 472          313375   586 102
 473          313961   581 103
 474          314543   601 100
 475          315144   628  96
 476          315773   659  91
 477          316433   661  91
 478          317094   649  92
 479          317744   690  87
 480          318435   716  84
 481          319151   681  88
 482          319833   634  95
 483          320468   622  96
 484          321090   639  94
 485          321730   634  95
 486          322365   634  95
 487          322999   659  91
 488          323659   794  76
 489          324454   735  82
 490          325189   705  85
 491          325895   710  85
 492          326606   742  81
 493          327349   722  83
 494          328071   673  89
 495          328745   655  92
 496          329401   623  96
 497          330024   598 100
 498          330623   589 102
 499          331212   596 101
 500          331809   597 101
 501          332407   643  93
 502          333050   697  86
 503          333748   688  87
 504          334437   673  89
 505          335110   702  85
 506          335813   727  83
 507          336541   695  86
 508          337236   690  87
 509          337927   731  82
 510          338659   696  86
 511          339356   667  90
 512          340023   679  88
 513          340703   782  77
 514          341486   732  82
 515          342219   813  74
 516          343032   763  79
 517          343796   771  78
 518          344568   730  82
 519          345299   701  86
 520          346000   746  80
 521          346747   813  74
 522          347561   789  76
 523          348351   777  77
 524          349128   841  71
 525          349970   866  69
 526          350837   795  75
 527          351633   879  68
 528          352513   889  67
 529          353403   874  69
 530          354278   817  73
 531          355095   817  73
 532          355913   851  71
 533          356765   795  75
 534          357561   736  82
 535          358298   770  78
 536          359068   797  75
 537          359866   764  79
 538          360631   713  84
 539          361345   724  83
 540          362069   746  80
 541          362816   723  83
 542          363540   697  86
 543          364237   720  83
 544          364958   716  84
 545          365675   724  83
 546          366400   729  82
 547          367129   709  85
 548          367839   716  84
 549          368556   727  83
 550          369283   699  86
 551          369983   700  86
 552          370684   722  83
 553          371407   707  85
 554          372114   711  84
 555          372826   702  85
 556          373529   676  89
 557          374205   664  90
 558          374870   650  92
 559          375520   381 157
 560          376161   578 104
 561          376740   682  88
 562          377422   622  96
 563          378045   618  97
 564          378664   632  95
 565          379296   626  96
 566          379923   622  96
 567          380546   638  94
 568          381184   459 131
 569          381644   804  75
 570          382449   641  94
 571          383090   646  93
 572          383737   633  95
 573          384370   637  94
 574          385008   640  94
 575          385649   638  94
 576          386287   639  94
 577          386927   640  94
 578          387568   643  93
 579          388211   628  96
 580          388840   623  96
 581          389463   635  94
 582          390099   626  96
 583          390726   619  97
 584          391345   626  96
 585          391972   614  98
 586          392587   611  98
 587          393198   623  96
 588          393822   614  98
 589          394436   604  99
 590          395041   585 103
 591          395627   576 104
 592          396203   601 100
 593          396805   624  96
 594          397429   640  94
 595          398070   642  93
 596          398713   636  94
 597          399349   632  95
 598          399982   633  95
 599          400616   631  95
 600          401247   626  96
 601          401874   622  96
 602          402496   622  96
 603          403119   617  97
 604          403737   608  99
 605          404345   606  99
 606          404952   603 100
 607          405556   593 101
 608          406149   586 102
 609          406736   580 103
 610          407316   580 103
 611          407897   574 105
 612          408471   581 103
 613          409053   582 103
 614          409636   598 100
 615          410234   620  97
 616          410855   622  96
 617          411477   640  94
 618          412118   635  94
 619          412754   631  95
 620          413385   623  96
 621          414009   625  96
 622          414635   619  97
 623          415254   605  99
 624          415860   535 112
 625          416395   648  93
 626          417044   570 105
 627          419457   564 106
 628          420021   556 108
 629          420578   558 108
 630          421136   550 109
 631          421687   554 108
 632          422241   555 108
 633          422797   555 108
 634          423352   563 107
 635          423916   561 107
 636          424478   563 107
 637          425041   565 106
 638          425607   575 104
 639          426182   577 104
 640          426760   595 101
 641          427355   596 101
 642          427952   599 100
 643          428552   601 100
 644          429153   592 101
 645          429746   592 101
 646          430338   587 102
 647          430926   592 101
 648          431519   593 101
 649          432112   583 103
 650          432696   604  99
 651          433300   567 106
 652          433868   556 108
 653          434424   549 109
 654          434974   543 110
 655          435517   533 113
 656          436051   529 113
 657          436581   529 113
 658          437110   530 113
 659          437641   527 114
 660          438168   524 115
 661          438693   525 114
 662          439218   532 113
 663          439751   527 114
 664          440278   526 114
 665          440805   528 114
 666          441333   532 113
 667          441866   522 115
 668          442388   526 114
 669          442915   526 114
 670          443441   533 113
 671          443975   532 113
 672          444507   537 112
 673          445045   548 109
 674          445594   548 109
 675          446142   544 110
 676          446687   551 109
 677          447238   546 110
 678          447785   546 110
 679          448331   540 111
 680          448872   543 110
 681          449415   538 112
 682          449954   536 112
 683          450490   536 112
 684          451027   537 112
 685          451565   552 109
 686          452117   577 104
 687          452695   561 107
 688          453256   555 108
 689          453812   563 107
 690          454375   567 106
 691          454943   563 107
 692          455506   563 107
 693          456070   568 106
 694          456639   559 107
 695          457198   553 108
 696          457752   561 107
 697          458313   548 109
 698          458862   551 109
 699          459413   539 111
 700          459953   535 112
 701          460488   530 113
 702          461019   524 115
 703          461543   522 115
 704          462066   519 116
 705          462585   530 113
 706          463116   539 111
 707          463656   547 110
 708          464203   545 110
 709          464749   567 106
 710          465316   564 106
 711          465881   574 105
 712          466455   583 103
 713          467039   587 102
 714          467627   579 104
 715          468206   578 104
 716          468785   586 102
 717          469371   579 104
 718          469951   576 104
 719          470527   582 103
 720          471110   582 103
 721          471693   581 103
 722          472274   566 106
 723          472841   563 107
 724          473404   562 107
 725          473967   561 107
 726          474528   571 105
 727          475100   562 107
 728          475663   564 106
 729          476227   575 104
 730          476803   568 106
 731          477371   566 106
 732          477938   577 104
 733          478515   581 103
 734          479097   576 104
 735          479674   590 102
 736          480264   601 100
 737          480866   606  99
 738          481472   604  99
 739          482077   615  98
 740          482693   610  98
 741          483303   606  99
 742          483910   615  98
 743          484525   619  97
 744          485145   600 100
 745          485746   605  99
 746          486351   605  99
 747          486957   601 100
 748          487558   594 101
 749          488153   593 101
 750          488747   594 101
 751          489341   576 104
 752          489918   574 105
 753          490492   580 103
 754          491073   580 103
 755          491654   574 105
 756          492228   582 103
 757          492811   595 101
 758          493406   593 101
 759          494000   590 102
 760          494591   611  98
 761          495202   621  97
 762          495824   618  97
 763          496442   618  97
 764          497061   620  97
 765          497682   618  97
 766          498300   609  99
 767          498910   629  95
 768          499539   642  93
 769          500182   641  94
 770          500824   646  93
 771          501470   678  88
 772          502149   687  87
 773          502837   657  91
 774          503494   672  89
 775          504167   721  83
 776          504889   742  81
 777          505632   725  83
 778          506357   722  83
 779          507080   757  79
 780          507838   794  76
 781          508633   729  82
 782          509362   717  84
 783          510080   813  74
 784          510894   851  71
 785          511746   840  71
 786          512587   900  67
 787          513488   927  65
 788          514416   845  71
 789          515261   786  76
